,Year,Month,Value,city
21,2022,Nov,309.655,../data/cpi_data/Denver
22,2022,Oct,,../data/cpi_data/Denver
23,2022,Sep,308.211,../data/cpi_data/Denver
24,2023,Apr,,../data/cpi_data/Denver
25,2023,Aug,,../data/cpi_data/Denver
26,2023,Dec,,../data/cpi_data/Denver
27,2023,Feb,,../data/cpi_data/Denver
28,2023,Jan,312.392,../data/cpi_data/Denver
29,2023,Jul,323.298,../data/cpi_data/Denver
30,2023,Jun,,../data/cpi_data/Denver
31,2023,Mar,316.566,../data/cpi_data/Denver
32,2023,May,319.132,../data/cpi_data/Denver
33,2023,Nov,,../data/cpi_data/Denver
34,2023,Oct,,../data/cpi_data/Denver
35,2023,Sep,,../data/cpi_data/Denver
0,2021,Apr,,../data/cpi_data/San_Diego
1,2021,Aug,,../data/cpi_data/San_Diego
2,2021,Dec,,../data/cpi_data/San_Diego
3,2021,Feb,,../data/cpi_data/San_Diego
4,2021,Jan,307.688,../data/cpi_data/San_Diego
5,2021,Jul,323.906,../data/cpi_data/San_Diego
6,2021,Jun,,../data/cpi_data/San_Diego
7,2021,Mar,315.035,../data/cpi_data/San_Diego
8,2021,May,317.141,../data/cpi_data/San_Diego
9,2021,Nov,326.422,../data/cpi_data/San_Diego
10,2021,Oct,,../data/cpi_data/San_Diego
11,2021,Sep,324.138,../data/cpi_data/San_Diego
12,2022,Apr,,../data/cpi_data/San_Diego
13,2022,Aug,,../data/cpi_data/San_Diego
14,2022,Dec,,../data/cpi_data/San_Diego
15,2022,Feb,,../data/cpi_data/San_Diego
16,2022,Jan,332.99,../data/cpi_data/San_Diego
17,2022,Jul,347.462,../data/cpi_data/San_Diego
18,2022,Jun,,../data/cpi_data/San_Diego
19,2022,Mar,339.852,../data/cpi_data/San_Diego
20,2022,May,343.502,../data/cpi_data/San_Diego
21,2022,Nov,348.145,../data/cpi_data/San_Diego
22,2022,Oct,,../data/cpi_data/San_Diego
23,2022,Sep,350.721,../data/cpi_data/San_Diego
24,2023,Apr,,../data/cpi_data/San_Diego
25,2023,Aug,,../data/cpi_data/San_Diego
26,2023,Dec,,../data/cpi_data/San_Diego
27,2023,Feb,,../data/cpi_data/San_Diego
28,2023,Jan,354.453,../data/cpi_data/San_Diego
29,2023,Jul,362.412,../data/cpi_data/San_Diego
30,2023,Jun,,../data/cpi_data/San_Diego
31,2023,Mar,358.026,../data/cpi_data/San_Diego
32,2023,May,361.339,../data/cpi_data/San_Diego
33,2023,Nov,,../data/cpi_data/San_Diego
34,2023,Oct,,../data/cpi_data/San_Diego
35,2023,Sep,,../data/cpi_data/San_Diego
0,2021,Apr,,../data/cpi_data/Dallas
1,2021,Aug,,../data/cpi_data/Dallas
2,2021,Dec,,../data/cpi_data/Dallas
3,2021,Feb,,../data/cpi_data/Dallas
4,2021,Jan,242.513,../data/cpi_data/Dallas
5,2021,Jul,253.319,../data/cpi_data/Dallas
6,2021,Jun,,../data/cpi_data/Dallas
7,2021,Mar,246.995,../data/cpi_data/Dallas
8,2021,May,251.228,../data/cpi_data/Dallas
9,2021,Nov,257.394,../data/cpi_data/Dallas
10,2021,Oct,,../data/cpi_data/Dallas
11,2021,Sep,254.95,../data/cpi_data/Dallas
12,2022,Apr,,../data/cpi_data/Dallas
13,2022,Aug,,../data/cpi_data/Dallas
14,2022,Dec,,../data/cpi_data/Dallas
15,2022,Feb,,../data/cpi_data/Dallas
16,2022,Jan,261.499,../data/cpi_data/Dallas
17,2022,Jul,277.005,../data/cpi_data/Dallas
18,2022,Jun,,../data/cpi_data/Dallas
19,2022,Mar,269.347,../data/cpi_data/Dallas
20,2022,May,274.196,../data/cpi_data/Dallas
21,2022,Nov,279,../data/cpi_data/Dallas
22,2022,Oct,,../data/cpi_data/Dallas
23,2022,Sep,278.297,../data/cpi_data/Dallas
24,2023,Apr,,../data/cpi_data/Dallas
25,2023,Aug,,../data/cpi_data/Dallas
26,2023,Dec,,../data/cpi_data/Dallas
27,2023,Feb,,../data/cpi_data/Dallas
28,2023,Jan,281.117,../data/cpi_data/Dallas
29,2023,Jul,288.006,../data/cpi_data/Dallas
30,2023,Jun,,../data/cpi_data/Dallas
31,2023,Mar,284.862,../data/cpi_data/Dallas
32,2023,May,287.133,../data/cpi_data/Dallas
33,2023,Nov,,../data/cpi_data/Dallas
34,2023,Oct,,../data/cpi_data/Dallas
35,2023,Sep,,../data/cpi_data/Dallas
0,2021,Apr,236.604,../data/cpi_data/Houston
1,2021,Aug,241.088,../data/cpi_data/Houston
2,2021,Dec,245.509,../data/cpi_data/Houston
3,2021,Feb,232.442,../data/cpi_data/Houston
4,2021,Jan,,../data/cpi_data/Houston
5,2021,Jul,,../data/cpi_data/Houston
6,2021,Jun,239.374,../data/cpi_data/Houston
7,2021,Mar,,../data/cpi_data/Houston
8,2021,May,,../data/cpi_data/Houston
9,2021,Nov,,../data/cpi_data/Houston
10,2021,Oct,243.813,../data/cpi_data/Houston
11,2021,Sep,,../data/cpi_data/Houston
12,2022,Apr,256.668,../data/cpi_data/Houston
13,2022,Aug,264.074,../data/cpi_data/Houston
14,2022,Dec,258.588,../data/cpi_data/Houston
15,2022,Feb,250.563,../data/cpi_data/Houston
16,2022,Jan,,../data/cpi_data/Houston
17,2022,Jul,,../data/cpi_data/Houston
18,2022,Jun,263.874,../data/cpi_data/Houston
19,2022,Mar,,../data/cpi_data/Houston
20,2022,May,,../data/cpi_data/Houston
21,2022,Nov,,../data/cpi_data/Houston
22,2022,Oct,262.423,../data/cpi_data/Houston
23,2022,Sep,,../data/cpi_data/Houston
24,2023,Apr,267.002,../data/cpi_data/Houston
