,Year,Month,Value,city
24,2023,Apr,301.447,./cpi_data/atlanta
25,2023,Aug,308.336,./cpi_data/atlanta
26,2023,Dec,,./cpi_data/atlanta
27,2023,Feb,299.916,./cpi_data/atlanta
28,2023,Jan,,./cpi_data/atlanta
29,2023,Jul,,./cpi_data/atlanta
30,2023,Jun,305.066,./cpi_data/atlanta
31,2023,Mar,,./cpi_data/atlanta
32,2023,May,,./cpi_data/atlanta
33,2023,Nov,,./cpi_data/atlanta
34,2023,Oct,,./cpi_data/atlanta
35,2023,Sep,,./cpi_data/atlanta
0,2021,Apr,150.787,./cpi_data/Phoenix
1,2021,Aug,153.931,./cpi_data/Phoenix
2,2021,Dec,159.85,./cpi_data/Phoenix
3,2021,Feb,147.186,./cpi_data/Phoenix
4,2021,Jan,,./cpi_data/Phoenix
5,2021,Jul,,./cpi_data/Phoenix
6,2021,Jun,153.672,./cpi_data/Phoenix
7,2021,Mar,,./cpi_data/Phoenix
8,2021,May,,./cpi_data/Phoenix
9,2021,Nov,,./cpi_data/Phoenix
10,2021,Oct,157.254,./cpi_data/Phoenix
11,2021,Sep,,./cpi_data/Phoenix
12,2022,Apr,167.396,./cpi_data/Phoenix
13,2022,Aug,173.952,./cpi_data/Phoenix
14,2022,Dec,175.019,./cpi_data/Phoenix
15,2022,Feb,163.261,./cpi_data/Phoenix
16,2022,Jan,,./cpi_data/Phoenix
17,2022,Jul,,./cpi_data/Phoenix
18,2022,Jun,172.643,./cpi_data/Phoenix
19,2022,Mar,,./cpi_data/Phoenix
20,2022,May,,./cpi_data/Phoenix
21,2022,Nov,,./cpi_data/Phoenix
22,2022,Oct,176.337,./cpi_data/Phoenix
23,2022,Sep,,./cpi_data/Phoenix
24,2023,Apr,179.824,./cpi_data/Phoenix
25,2023,Aug,180.387,./cpi_data/Phoenix
26,2023,Dec,,./cpi_data/Phoenix
27,2023,Feb,177.118,./cpi_data/Phoenix
28,2023,Jan,,./cpi_data/Phoenix
29,2023,Jul,,./cpi_data/Phoenix
30,2023,Jun,180.251,./cpi_data/Phoenix
31,2023,Mar,,./cpi_data/Phoenix
32,2023,May,,./cpi_data/Phoenix
33,2023,Nov,,./cpi_data/Phoenix
34,2023,Oct,,./cpi_data/Phoenix
35,2023,Sep,,./cpi_data/Phoenix
0,2021,Apr,280.39,./cpi_data/Miami
1,2021,Aug,285.472,./cpi_data/Miami
2,2021,Dec,293.284,./cpi_data/Miami
3,2021,Feb,275.849,./cpi_data/Miami
4,2021,Jan,,./cpi_data/Miami
5,2021,Jul,,./cpi_data/Miami
6,2021,Jun,284.797,./cpi_data/Miami
7,2021,Mar,,./cpi_data/Miami
8,2021,May,,./cpi_data/Miami
9,2021,Nov,,./cpi_data/Miami
10,2021,Oct,289.793,./cpi_data/Miami
11,2021,Sep,,./cpi_data/Miami
12,2022,Apr,305.958,./cpi_data/Miami
13,2022,Aug,314.69,./cpi_data/Miami
14,2022,Dec,322.21,./cpi_data/Miami
15,2022,Feb,301.458,./cpi_data/Miami
16,2022,Jan,,./cpi_data/Miami
17,2022,Jul,,./cpi_data/Miami
18,2022,Jun,313.509,./cpi_data/Miami
19,2022,Mar,,./cpi_data/Miami
20,2022,May,,./cpi_data/Miami
21,2022,Nov,,./cpi_data/Miami
22,2022,Oct,317.615,./cpi_data/Miami
23,2022,Sep,,./cpi_data/Miami
24,2023,Apr,333.592,./cpi_data/Miami
25,2023,Aug,339.347,./cpi_data/Miami
26,2023,Dec,,./cpi_data/Miami
27,2023,Feb,329.065,./cpi_data/Miami
28,2023,Jan,,./cpi_data/Miami
29,2023,Jul,,./cpi_data/Miami
30,2023,Jun,335.27,./cpi_data/Miami
31,2023,Mar,,./cpi_data/Miami
32,2023,May,,./cpi_data/Miami
33,2023,Nov,,./cpi_data/Miami
34,2023,Oct,,./cpi_data/Miami
35,2023,Sep,,./cpi_data/Miami
0,2021,Apr,,./cpi_data/Denver
1,2021,Aug,,./cpi_data/Denver
